0.02	0.0376	0.0644
0.0338	0.0565	0.0993
0.0414	0.073	0.126
0.0488	0.0843	0.1435
0.0502	0.0881	0.157
0.0513	0.0909	0.1609
0.0538	0.0922	0.1649
0.0531	0.0945	0.1662
0.0543	0.0954	0.1657
0.0541	0.0959	0.1679
0.055	0.0967	0.1667
0.055	0.0974	0.1687
0.0545	0.0985	0.1682
0.0548	0.0985	0.1662
0.0556	0.098	0.1674
0.0551	0.099	0.1672
0.055	0.0988	0.1664
0.0555	0.099	0.1667
0.056	0.1002	0.1661
0.0563	0.1002	0.1656
0.0566	0.0997	0.1661
0.0578	0.0998	0.1664
0.0573	0.0998	0.1661
0.057	0.0998	0.1666
0.0584	0.0995	0.1662
0.0579	0.0995	0.1654
0.0583	0.0998	0.1651
0.0588	0.1002	0.1647
0.0591	0.0998	0.1671
0.0586	0.1005	0.1666
0.0583	0.1012	0.1669
0.0591	0.1007	0.1664
0.0588	0.101	0.1669
0.0588	0.1005	0.1662
0.0591	0.1002	0.1664
0.0591	0.1002	0.1659
0.0591	0.1	0.1661
0.0589	0.0997	0.1667
0.0596	0.1002	0.1661
0.0591	0.0997	0.1669
0.0589	0.1002	0.1661
0.0593	0.0995	0.1656
0.0593	0.1005	0.1649
0.0588	0.0995	0.1654
0.0588	0.0997	0.1649
0.0584	0.1003	0.1649
0.0591	0.0995	0.1656
0.0588	0.1002	0.1657
0.0591	0.1003	0.1652
0.0591	0.1003	0.1657
0.0594	0.1002	0.1641
